Valid tokens count: 185
Error tokens count: 5
Elapsed time: 0.005983829498291016 s

/*                                              	COMMENT_START                                   
*/                                              	COMMENT_END                                     
√                                               	SQUARE                                          
x                                               	IDENTIFIER                                      
'∏Σπθι̅x                                       	ERROR_TOKEN                                     
π                                               	PI                                              
fl_2oat                                         	IDENTIFIER                                      
var1                                            	IDENTIFIER                                      
__dou__ble                                      	IDENTIFIER                                      
var                                             	KEYWORD                                         
'asd'                                           	STRING_LITERAL                                  
||                                              	LOGICAL_OR                                      
3                                               	NUM_LITERAL                                     
.                                               	PERIOD                                          
1                                               	NUM_LITERAL                                     
'\tab'                                          	STRING_LITERAL                                  
fl_2oat                                         	IDENTIFIER                                      
var1                                            	IDENTIFIER                                      
=                                               	OP_EQUALITY                                     
15                                              	NUM_LITERAL                                     
π                                               	PI                                              
;                                               	END_STATEMENT                                   
var                                             	KEYWORD                                         
delay                                           	IDENTIFIER                                      
=                                               	OP_EQUALITY                                     
3                                               	NUM_LITERAL                                     
s                                               	NUM_SUFFIX                                      
;                                               	END_STATEMENT                                   
__dou__ble                                      	IDENTIFIER                                      
var2                                            	IDENTIFIER                                      
=                                               	OP_EQUALITY                                     
√                                               	SQUARE                                          
27                                              	NUM_LITERAL                                     
//                                              	OP_TRUE_DIV                                     
24                                              	NUM_LITERAL                                     
;                                               	END_STATEMENT                                   
int                                             	KEYWORD                                         
var3                                            	IDENTIFIER                                      
=                                               	OP_EQUALITY                                     
|                                               	VERTICAL_BAR                                    
-                                               	OP_MINUS                                        
99                                              	NUM_LITERAL                                     
|                                               	VERTICAL_BAR                                    
;                                               	END_STATEMENT                                   
(                                               	LEFT_PAREN                                      
var1                                            	IDENTIFIER                                      
==                                              	LOGICAL_EQUALS                                  
4                                               	NUM_LITERAL                                     
ι                                               	IMAGINARY                                       
&&                                              	LOGICAL_AND                                     
var2                                            	IDENTIFIER                                      
==                                              	LOGICAL_EQUALS                                  
√                                               	SQUARE                                          
27                                              	NUM_LITERAL                                     
)                                               	RIGHT_PAREN                                     
||                                              	LOGICAL_OR                                      
var7                                            	IDENTIFIER                                      
==                                              	LOGICAL_EQUALS                                  
'false'                                         	STRING_LITERAL                                  
long                                            	IDENTIFIER                                      
var7                                            	IDENTIFIER                                      
=                                               	OP_EQUALITY                                     
Σ                                               	SUMMATION                                       
(                                               	LEFT_PAREN                                      
1                                               	NUM_LITERAL                                     
,                                               	COMMA                                           
100                                             	NUM_LITERAL                                     
)                                               	RIGHT_PAREN                                     
+                                               	OP_PLUS                                         
∏                                               	PRODUCT_NOTATION                                
(                                               	LEFT_PAREN                                      
1                                               	NUM_LITERAL                                     
,                                               	COMMA                                           
5                                               	NUM_LITERAL                                     
)                                               	RIGHT_PAREN                                     
;                                               	END_STATEMENT                                   
314                                             	NUM_LITERAL                                     
.                                               	PERIOD                                          
159                                             	NUM_LITERAL                                     
;                                               	END_STATEMENT                                   
gr4v1ty66                                       	IDENTIFIER                                      
=                                               	OP_EQUALITY                                     
9                                               	NUM_LITERAL                                     
.                                               	PERIOD                                          
81                                              	NUM_LITERAL                                     
;                                               	END_STATEMENT                                   
++                                              	INCREMENT                                       
**                                              	EXPONENT                                        
+                                               	OP_PLUS                                         
^                                               	OP_EXPONENT                                     
--                                              	DECREMENT                                       
+                                               	OP_PLUS                                         
-                                               	OP_MINUS                                        
%                                               	OP_MODULUS                                      
/                                               	OP_DIV                                          
-                                               	OP_MINUS                                        
+                                               	OP_PLUS                                         
-                                               	OP_MINUS                                        
+                                               	OP_PLUS                                         
--                                              	DECREMENT                                       
*/                                              	COMMENT_END                                     
-                                               	OP_MINUS                                        
*                                               	OP_MULT                                         
+                                               	OP_PLUS                                         
%                                               	OP_MODULUS                                      
%                                               	OP_MODULUS                                      
"a\tb"                                          	STRING_LITERAL                                  
#                                               	COMMENT_SINGLE                                  
'''l
s'''                                            	RAW_LITERAL                                     
'a "tab": \t'                                   	STRING_LITERAL                                  
\x                                              	ERROR_TOKEN                                     
"'x' is invalid escape character: "             	STRING_LITERAL                                  
"""This is a raw"" string literal"""            	RAW_LITERAL                                     
''''''                                          	RAW_LITERAL                                     
''                                              	STRING_LITERAL                                  
"d'"                                            	STRING_LITERAL                                  
Sads                                            	IDENTIFIER                                      
"'d's"                                          	STRING_LITERAL                                  
D                                               	IDENTIFIER                                      
"Adas'd"                                        	STRING_LITERAL                                  
'                                               	ERROR_TOKEN                                     
"literal does not allow                        	ERROR_TOKEN                                     
new                                             	IDENTIFIER                                      
lines                                           	IDENTIFIER                                      
"                                               	ERROR_TOKEN                                     
"""raw does wink
wink and allows the use of \, ', ", and "" characters."""	RAW_LITERAL                                     
++                                              	INCREMENT                                       
=                                               	OP_EQUALITY                                     
!=                                              	LOGICAL_NOT_EQUALS                              
=                                               	OP_EQUALITY                                     
string                                          	KEYWORD                                         
;                                               	END_STATEMENT                                   
#                                               	COMMENT_SINGLE                                  
import                                          	KEYWORD                                         
/*                                              	COMMENT_START                                   
*/                                              	COMMENT_END                                     
from                                            	KEYWORD                                         
System                                          	IDENTIFIER                                      
;                                               	END_STATEMENT                                   
import                                          	KEYWORD                                         
Graphics                                        	IDENTIFIER                                      
from                                            	KEYWORD                                         
System                                          	IDENTIFIER                                      
;                                               	END_STATEMENT                                   
float                                           	KEYWORD                                         
_IOSYS                                          	IDENTIFIER                                      
=                                               	OP_EQUALITY                                     
3                                               	NUM_LITERAL                                     
.                                               	PERIOD                                          
14                                              	NUM_LITERAL                                     
f                                               	NUM_SUFFIX                                      
;                                               	END_STATEMENT                                   
#                                               	COMMENT_SINGLE                                  
/*                                              	COMMENT_START                                   
*/                                              	COMMENT_END                                     
var                                             	KEYWORD                                         
gr4v1t4s                                        	IDENTIFIER                                      
=                                               	OP_EQUALITY                                     
9                                               	NUM_LITERAL                                     
.                                               	PERIOD                                          
81                                              	NUM_LITERAL                                     
d                                               	NUM_SUFFIX                                      
;                                               	END_STATEMENT                                   
from                                            	KEYWORD                                         
{                                               	LEFT_BRACE                                      
System                                          	IDENTIFIER                                      
}                                               	RIGHT_BRACE                                     
import                                          	KEYWORD                                         
Time                                            	IDENTIFIER                                      
;                                               	END_STATEMENT                                   
string                                          	KEYWORD                                         
message                                         	IDENTIFIER                                      
=                                               	OP_EQUALITY                                     
"this a message"                                	STRING_LITERAL                                  
;                                               	END_STATEMENT                                   
n                                               	IDENTIFIER                                      
^                                               	OP_EXPONENT                                     
p                                               	IDENTIFIER                                      
;                                               	END_STATEMENT                                   
#                                               	COMMENT_SINGLE                                  
public                                          	KEYWORD                                         
class                                           	KEYWORD                                         
test                                            	IDENTIFIER                                      
{                                               	LEFT_BRACE                                      
}                                               	RIGHT_BRACE                                     
(                                               	LEFT_PAREN                                      
)                                               	RIGHT_PAREN                                     
->                                              	DELIM_FUNC_RETURN                               
string                                          	KEYWORD                                         
;                                               	END_STATEMENT                                   
